Unnamed: 0,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,Unnamed: 10,TOTAL,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
GUADALAJARA,,,,,,,,,,,,,,,,
RECEPCIONES,2078.3640491127003,0,,1340.9494723311175,0,,88.75910994827784,0,,,,,,,,
,,,,,,,,,,,,,,,,
MONTERREY 2,,,,,,,,,,,,,,,,
VENTAS,4750698.927917593,5002672.796010839,,4402829.950101089,5592609.505312856,,4155096.5871294383,5720099.05547175,,,,,,,,
TRANSFERENCIAS,134830.551907633,113571.46555498792,,54771.437000046455,453085.8741243768,,437303.3087194717,368364.34718020045,,,,,,,,
RECEPCIONES,3245282.140259233,2040883.9083333334,,2511901.485307,2536222.294444444,,3734117.5521581657,3739094.0455555553,,,,,,,,
,,,,,,,,,,,,,,,,
MONTERREY 3 (Resortes),,,,,,,,,,,,,,,,
VENTAS,319153.1671833427,222222.22222222222,,314574.615476728,222222.22222222222,,498817.3072738558,222222.22222222222,,,,,,,,
TRANSFERENCIAS,189391.60787951283,282155.50177470257,,143187.45771788844,271220.49041432404,,120373.46705988637,241326.3780795478,,,,,,,,
RECEPCIONES,7805.872043351968,0,,4145.066298560498,0,,7997.736194417984,0,,,,,,,,
,,,,,,,,,,,,,,,,
MONTERREY 4 (Mat Primas),,,,,,,,,,,,,,,,
VENTAS,0,0,,0,0,,0,0,,,,,,,,
TRANSFERENCIAS,2275442.314545854,2040883.9083333334,,1854098.2185742108,2536222.294444444,,2981595.495228126,3739094.0455555553,,,,,,,,
RECEPCIONES,0,0,,0,326305.0844444444,,353291.1080229714,238449.46944444446,,,,,,,,
,,,,,,,,,,,,,,,,
YUCATAN,,,,,,,,,,,,,,,,
VENTAS,482472.5691410158,367353.7421154806,,380292.34688979277,353062.6543111736,,582165.4755660495,313928.2412339273,,,,,,,,
TRANSFERENCIAS,585272.7224351305,1562089.597318,,429627.9940832105,1501550.4003675159,,325489.6972877851,1336048.4640044356,,,,,,,,
RECEPCIONES,355576.6089779578,0,,102332.25359247395,0,,264728.53736596246,0,,,,,,,,
,,,,,,,,,,,,,,,,
TECATE,,,,,,,,,,,,,,,,
VENTAS,3125032.5266678063,6959885.329375906,,2965842.295273237,6033899.062602628,,3259332.912271276,6834956.646620794,,,,,,,,
TRANSFERENCIAS,110815.39385358948,44043.1548176355,,55457.84336007201,40149.04401185868,,64150.940713718,40158.748272335,,,,,,,,
RECEPCIONES,53766.82207630532,0,,20480.15721317376,0,,27010.083808415653,0,,,,,,,,
,,,,,,,,,,,,,,,,
CD JUAREZ,,,,,,,,,,,,,,,,
VENTAS,999670.6471062074,1417390.60090431,,921199.5855314448,1279367.007013194,,990372.7632301825,1281623.997285228,,,,,,,,
