UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.428617145093387,Unnamed: 122,Unnamed: 123,18.5,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,17.5670583816338,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134
TOTAL VENTAS C/TRANSFERENC,3455534.2199999997,,,2220471.3998227925,,,1235062.820177207,0.5562164954143399,,1052344.98,,,2134416.4413699685,,,-1082071.4613699685,-0.5069636085990062,,2040122.54,,,1899159.5668984463,,,140962.97310155383,0.07422387015734705,,6548001.74,,,2426676.2,,,3205789.2021933976,,,-779113.0021933974,-0.2430331356972346,,1853322.8,,,2085587.7605529816,,,-232264.96055298165,-0.11136666840209969,,3307336.0599999996,,,2668131.8607866415,,,639204.1992133583,0.23956994352779193,,7587335.06,,,811496.2300000001,,,3266052.5060956506,,,-2454556.2760956506,-0.7515360734447929,,2397830.4299999997,,,2050175.134293953,,,347655.295706047,0.16957346223290998,,1522804.2699999998,,,2022750.2448024543,,,-499945.9748024545,-0.24716149514112662,,4732130.93,,,5798166.259999998,,,2052329.2919483643,,,3745836.968051634,1.8251637214101981,,,,,,,,,,,,,,,,,0,,,5798166.259999998,,,24665633.99,1,,23604863.408764645,,,1060770.581235353,0.044938645179428645,,45128104.14599742,1,,44832612.059999995,1
,0.00569815280182803,,,,,,,,,0.001962035770146162,,,,,,,,,0.0035219789994468723,,,,,,,,,0.1869463321454706,,,0.0043396435123263955,,,,,,,,,0.0032899558957169136,,,,,,,,,0.006513996061559211,,,,,,,,,0.1869463321454706,,,0.0013600446417442252,,,,,,,,,0.004738526578349683,,,,,,,,,0.002881137645729923,,,,,,,,,0.1869463321454706,,,0.009181094952527266,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1869463321454706,,,,,,,,,,,,,,,,
INVENTARIO INICIAL,31653749.07,,,,,,,,,30768791.29,,,,,,,,,30568235.13,,,,,,,,,31653749.07,,,31567648.57,,,,,,,,,32311498.57,,,,,,,,,32034871.61,,,,,,,,,31567648.57,,,30932095.69,,,,,,,,,30623423.61,,,,,,,,,29976500.43,,,,,,,,,30932095.69,,,31162571.049999997,,,,,,,,,,,,,,,,,,,,,,,,,,,31162571.049999997,,,,,,,,,,,,,,,,
(+) COMPRAS,1624533.47,,,,,,,,,300254,,,,,,,,,2333322.05,,,,,,,,,4258109.52,,,1634848.04,,,,,,,,,851824.29,,,,,,,,,971178.95,,,,,,,,,3457851.2800000003,,,319667.76,,,,,,,,,107822.68,,,,,,,,,1675363.55,,,,,,,,,2102853.99,,,1471528.61,,,,,,,,,,,,,,,,,,,,,,,,,,,1471528.61,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS RECIBIDAS,42572.17,,,,,,,,,27435.74,,,,,,,,,1808.4,,,,,,,,,71816.31,,,485005.76,,,,,,,,,12943.150000000001,,,,,,,,,66701.29,,,,,,,,,564650.2,,,1867.15,,,,,,,,,433293.69,,,,,,,,,538265.23,,,,,,,,,973426.07,,,13757.19,,,,,,,,,,,,,,,,,,,,,,,,,,,13757.19,,,,,,,,,,,,,,,,
(--) INVENTARIO FINAL,30768791.29,,,,,,,,,30568235.13,,,,,,,,,31567648.57,,,,,,,,,31567648.57,,,32311498.57,,,,,,,,,32034871.61,,,,,,,,,30932095.69,,,,,,,,,30932095.69,,,30623423.61,,,,,,,,,29976500.43,,,,,,,,,31162571.049999997,,,,,,,,,31162571.049999997,,,28678754.09,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
MATERIALES,2552063.42,0.738543813349937,,1513269.550177622,0.6815082375293778,,1038793.869822378,0.05703557582055918,,528245.9000000001,0.5019702759450614,,1403373.3106220365,0.6574974233806434,,-875127.4106220363,-0.15552714743558205,,1335717.0099999993,0.6547239118293352,,1237230.1996631445,0.6514619525539335,,98486.81033685477,0.003261959275401738,,4416026.329999999,0.6744082401541939,,1376003.799999999,0.5670323053401187,,2059036.3048420267,0.6422868675935511,,-683032.5048420276,-0.07525456225343241,,1141394.4,0.6158637880028238,,1375820.487737469,0.6596799778747637,,-234426.087737469,-0.043816189871939915,,2140656.1599999974,0.6472448282137975,,1717562.7724306954,0.643732342345445,,423093.387569302,0.0035124858683525106,,4658054.359999997,0.6139249582580049,,630206.9900000036,0.7765987896209986,,2059199.584098493,0.6304857562011854,,-1428992.5940984893,0.1461130334198132,,1188039.5499999993,0.4954643727663426,,1364847.580897004,0.6657224341797685,,-176808.03089700476,-0.17025806141342592,,1027558.1600000034,0.6747801935175842,,1308053.381478525,0.6466707320093649,,-280495.2214785216,0.028109461508219358,,2845804.7000000062,0.6013791127288202,,3969102.7599999965,0.6845444890709288,,1332386.1511348481,0.6492068092396405,,2636716.6088651484,0.03533767983128833,,,,,,,,,,,,,,,,,0,,,3969102.7599999965,0.6845444890709288,,15888988.15,0.6441751368094473,,15370779.323081866,0.6511700176741795,,518208.82691813447,-0.006994880864732211,,28795177.027325977,0.6380763732987424,,28646883.38000001,0.6389742213025991
(+) VARIACION EN COMPRAS,-175630.71,-0.050825921208790696,,0,0,,-175630.71,,,-46116.38,-0.043822492506212174,,0,0,,-46116.38,,,-418627.74,-0.20519735054738428,,0,0,,-418627.74,,,-640374.83,-0.09779698531356834,,-123210.77,-0.05077346948884239,,0,0,,-123210.77,,,-322722.24,-0.17413169470531523,,0,0,,-322722.24,,,178882.27,0.05408651154730252,,0,0,,178882.27,,,-267050.74,-0.03519690878130272,,-68941.67,-0.08495624187927527,,0,0,,-68941.67,,,-8101.62,-0.0033787293290793714,,0,0,,-8101.62,,,-293725.92,-0.1928848807338845,,0,0,,-293725.92,,,-370769.20999999996,-0.0783514267640942,,-55358.91,-0.009547658262562484,,0,0,,-55358.91,,,,,,,,,,,,,,,,,,0,,,-55358.91,-0.009547658262562484,,-1333553.6899999997,-0.05406525088877311,,0,0,,-1333553.6899999997,,,-544491.3943576918,-0.012065461305357865,,-605281.8600000001,-0.013500927833291187
(+) VARIACION STD,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,-2.22,0,,0,0,,-2.22,,,,,,,,,,,,,,,,,,0,,,-2.22,0,,-2.22,0,,0,0,,-2.22,,,-138327.4425908674,-0.003065217234549752,,-138326.36,-0.0030853959571857255
FLETES MERCANCIAS,82500,0.023874745480020165,,907.7187959465298,0,,81592.28120405348,0.023874745480020165,,4188.7300000000005,0.0039803772333289415,,465.8012107853694,0,,3722.9287892146313,0.0039803772333289415,,3983.98,0.0019528140696881864,,323.48946442161343,0,,3660.4905355783867,0.0019528140696881864,,90672.71,0.013847386363095255,,0,0,,312.6119639697327,0,,-312.6119639697327,,,122000,0.06582771225822075,,491.2714173737338,0,,121508.72858262627,0.06582771225822075,,106258.91,0.03212824704605314,,290.7912709135825,0,,105968.11872908642,0.03212824704605314,,228258.91,0.03008420060468504,,11197.580000000002,0.013798683944594542,,12.59131157327839,0,,11184.988688426723,0.013798683944594542,,-98758.91,-0.04118677816596064,,581.2479864429662,0,,-99340.15798644297,-0.04118677816596064,,0,0,,267.6248194680863,0,,-267.6248194680863,,,-87561.33,-0.01850357297700552,,156768.06,0.02703752410162865,,312.8468032331629,0,,156455.21319676682,0.02703752410162865,,,,,,,,,,,,,,,,,0,,,156768.06,0.02703752410162865,,388138.35,0.01573599730529367,,3965.995044128055,0,,384172.35495587194,0.01573599730529367,,155631.51382428763,0.00344866058012967,,125427.46,0.002797683521810842
