UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.426630343511174,Unnamed: 122,Unnamed: 123,17.999414480557512,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
TOTAL VENTAS C/TRANSFERENC,14301125.680000003,,,171957342.51254633,,,-157656216.83254632,-0.9168332944029036,,15042395.939999998,,,,,,15042395.939999998,,,14690770.570000002,,,,,,14690770.570000002,,,44034292.19,,,21165202.41,,,,,,21165202.41,,,13135316.360000001,,,,,,13135316.360000001,,,12276790.889999999,,,,,,12276790.889999999,,,46577309.66,,,14673956.909999998,,,,,,14673956.909999998,,,11990080.78,,,,,,11990080.78,,,10747153.889999999,,,,,,10747153.889999999,,,37411191.58,,,14778884.580000002,,,,,,14778884.580000002,,,,,,,,,,,,,,,,,,,,,14778884.580000002,,,142801678.01,1,,171951749.10396054,1,,-29150071.09396055,,,,,,
,0.02358246053277019,,,,,,,,,0.028045668924064616,,,,,,,,,0.02536150864409947,,,,,,,,,0.1869463321454706,,,0.037849892509611086,,,,,,,,,0.023317368944411,,,,,,,,,0.024179873485867052,,,,,,,,,0.1869463321454706,,,0.02459313516297068,,,,,,,,,0.02369446802482597,,,,,,,,,0.02033355846640211,,,,,,,,,0.1869463321454706,,,0.023401595700607094,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1869463321454706,,,,,,,,,,,,,,,
INVENTARIO INICIAL,87594592.07,,,,,,,,,87448117.19,,,,,,,,,85905132.71000001,,,,,,,,,87594592.07,,,84963863.67,,,,,,,,,77706414.16,,,,,,,,,77998090.28,,,,,,,,,84963863.67,,,78468266.30000001,,,,,,,,,77794047.72,,,,,,,,,78857377.53999999,,,,,,,,,78468266.30000001,,,78634283.45,,,,,,,,,,,,,,,,,,,,,,,,,,,78634283.45,,,,,,,,,,,,,,,
(+) COMPRAS,673820.75,,,,,,,,,41419.94,,,,,,,,,798964.01,,,,,,,,,1514204.7,,,401031.93,,,,,,,,,539511.87,,,,,,,,,679316.93,,,,,,,,,1619860.73,,,1171218.48,,,,,,,,,1222683.97,,,,,,,,,653222.78,,,,,,,,,3047125.23,,,587889.96,,,,,,,,,,,,,,,,,,,,,,,,,,,587889.96,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS RECIBIDAS,7355696.329999967,,,26536646.6289221,,,,-0.7228098774928463,,6618906.750000002,,,,,,,,,8130325.369999997,,,,,,,,,22104928.449999966,,,7440197.449999975,,,,,,,,,6681066.119999988,,,,,,,,,6349668.67999998,,,,,,,,,20470932.24999994,,,7924515.420000031,,,,,,,,,6855197.410000027,,,,,,,,,6592384.339999984,,,,,,,,,21372097.170000043,,,9566780.320000036,,,,,,,,,,,,,,,,,,,,,,,,,,,9566780.320000036,,,,,,,,,,,,,,,
(--) INVENTARIO FINAL,87464061.88,,,,,,,,,85905132.71000001,,,,,,,,,84963863.66,,,,,,,,,84963863.66,,,77706414.16,,,,,,,,,77998090.28,,,,,,,,,78468266.30000001,,,,,,,,,78468266.30000001,,,77794047.72,,,,,,,,,78850571.82,,,,,,,,,78634283.45,,,,,,,,,78634283.45,,,80089338.69,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
MATERIALES,8160047.269999964,0.570587760193711,,117943715.01166502,0.6858893798213915,,-109783667.74166505,-0.11530161962768049,,8203311.169999989,0.5453460474462148,,,,,8203311.169999989,,,9870558.430000015,0.6718884065997645,,,,,9870558.430000015,,,26233916.869999968,0.5957610663254304,,15098678.889999988,0.7133727614561465,,,,,15098678.889999988,,,6928901.869999988,0.5275017121856354,,,,,6928901.869999988,,,6558809.589999977,0.5342446286465972,,,,,6558809.589999977,,,28586390.34999995,0.6137406938844641,,9769952.480000049,0.6658021786435824,,,,,9769952.480000049,,,7021357.280000032,0.5855971622569862,,,,,7021357.280000032,,,7468701.209999974,0.6949468935165657,,,,,7468701.209999974,,,24260010.970000055,0.6484693468830713,,8699615.040000034,0.5886516667010897,,,,,8699615.040000034,,,,,,,,,,,,,,,,,,,,,8699615.040000034,0.5886516667010897,,87779933.23000002,0.6146981915986522,,117943715.01166502,0.6859116910776945,,-30163781.781664997,1.0347755820024218,,,,,
(+) VARIACION EN COMPRAS,21608.95,0.0015109964406662005,,,0,,21608.95,,,-1371.15,0,,,,,-1371.15,,,-1721.06,0,,,,,-1721.06,,,18516.74,0.009799097196426779,,18943.04,0,,,,,18943.04,,,-29838.63,-0.00227163390528342,,,,,-29838.63,,,-31459.05,-0.0025624815378768747,,,,,-31459.05,,,-42354.64,-0.02213309807171881,,-250897.68,-0.01709816115304376,,,,,-250897.68,,,-180235.49,-0.015032049683988868,,,,,-180235.49,,,-68510.27,-0.006374736111646021,,,,,-68510.27,,,-499643.44,-0.26598106975606217,,-119236.09,-0.008068003329653177,,,,,-119236.09,,,,,,,,,,,,,,,,,,,,,-119236.09,-0.16007014490929242,,-642717.43,-0.004500769451427541,,0,0,,-642717.43,0.20556937224111357,,,,,
(+) VARIACION STD,15944.78,0.0011149318142346398,,,0,,15944.78,,,0,0,,,,,0,,,0,0,,,,,0,,,15944.78,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,-6805.72,0,,,,,-6805.72,,,0,0,,,,,0,,,-6805.72,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,9139.060000000001,0,,0,0,,9139.060000000001,0,,,,,
FLETES MERCANCIAS,20854.54,0.0014582446491722598,,856308.4575253483,0.004979772570414494,,-835453.9175253483,-0.003521527921242234,,12530.1,0,,,,,12530.1,,,46631.24,0.003174186117590426,,,,,46631.24,,,80015.88,0.0018171265170959482,,0,0,,,,,0,,,0,0,,,,,0,,,77100,0.006280142806928595,,,,,77100,,,77100,0.0016553124378115918,,177813.85,0.012117648367825282,,,,,177813.85,,,75000,0.0062551705343890105,,,,,75000,,,0,0,,,,,0,,,252813.85,0.00675770643282996,,67041.78,0.004536322050361394,,,,,67041.78,,,,,,,,,,,,,,,,,,,,,67041.78,0.004536322050361394,,476971.51,0.003340097375932789,,856308.4575253483,0.004979934557150865,,-379336.9475253483,0.01301324261963605,,,,,
FLETES INTERPLANTAS,224000,0.015663102682417652,,1947668.0448720306,0.011326460483825662,,-1723668.0448720306,0.00433664219859199,,37250,0.00247633423216488,,,,,37250,,,145000,0.009870142570744672,,,,,145000,,,406250,0.21498834222699992,,0,0,,,,,0,,,-71500,-0.005443340536337108,,,,,-71500,,,5542.4,0,,,,,5542.4,,,-65957.6,-0.0344672042868314,,14431.04,0,,,,,14431.04,,,1565.12,0,,,,,1565.12,,,3417.0099999999998,0,,,,,3417.0099999999998,,,19413.17,0.01033444114458161,,2442.71,0,,,,,2442.71,,,,,,,,,,,,,,,,,,,,,2442.71,0.003279249962585805,,362148.28,0.0025360225807335387,,1947668.0448720306,0.011326828921609208,,-1585519.7648720306,0.5071191281378836,,,,,
