UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.339361608740504,Unnamed: 122,Unnamed: 123,20,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,,,,2025,,,2025 PPTO,,,2025 DELTA,,,2024,,,2024 Ene-Oct,
,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,,,,GUADALAJARA,,,MTY RESORTES,,,MTY RESORTES,,,GUADALAJARA,,,GUADALAJARA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,17751.669164723517,,,0,,,17751.669164723517,,,10583.5396075466,,,,,,10583.5396075466,,,1818.4721431009145,,,,,,1818.4721431009145,,,30153.68091537103,0.02665424518262959,,4795.711846969764,,,,,,4795.711846969764,,,5942.940372813869,,,,,,5942.940372813869,,,11669.796316678981,,,,,,11669.796316678981,,,22408.448536462613,0.012998149735532722,,19293.079009476718,,,,,,19293.079009476718,,,-6989.571853633548,,,,,,-6989.571853633548,,,10239.707466850345,,,,,,10239.707466850345,,,22543.214622693515,0.016118582867908657,,20299.654565661644,,,,,,20299.654565661644,,,0,,,0,,,0,,,0,,,0,,,0,,,20299.654565661644,0.028130843906148714,,95404.9986401888,,,0,,,95404.9986401888,,,110627.97818249962,,,84305.84108153207,
AUTOMOTRIZ USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,
EMPAQUE USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,
PROD HOGAR USD,300146.4036844182,,,200000,,,100146.40368441818,0.5007320184220909,,303991.0758691814,,,200000,,,103991.07586918143,0.5199553793459071,,496998.83513075486,,,200000,,,296998.83513075486,1.4849941756537743,,1101136.3146843545,0.9733457548173704,,522916.4165747151,,,200000,,,322916.4165747151,1.6145820828735755,,758638.9522139087,,,200000,,,558638.9522139087,2.793194761069543,,420008.3627464501,,,200000,,,220008.36274645012,1.1000418137322505,,1701563.7315350738,0.9870018502644673,,346372.65379163646,,,200000,,,146372.65379163646,0.7318632689581823,,542566.0647299183,,,200000,,,342566.06472991826,1.7128303236495912,,487103.4640606139,,,200000,,,287103.4640606139,1.4355173203030693,,1376042.1825821686,0.9838814171320914,,701315.9014192988,,,250000,,,451315.90141929884,1.8052636056771953,,0,,,,,,0,,,0,,,,,,0,,,701315.9014192988,0.9718691560938513,,4880058.130220897,,,2050000,,,2830058.1302208966,1.3805161610833643,,2402343.338398474,,,1837386.6261216425,
OTROS INGRESOS USD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,
TOTAL VENTAS USD,317898.0728491417,,,200000,,,117898.0728491417,0.5894903642457087,,314574.615476728,,,200000,,,114574.61547672802,0.57287307738364,,498817.3072738558,,,200000,,,298817.3072738558,1.494086536369279,,1131289.9955997255,,,527712.1284216848,,,200000,,,327712.1284216849,1.6385606421084242,,764581.8925867225,,,200000,,,564581.8925867225,2.8229094629336124,,431678.1590631291,,,200000,,,231678.1590631291,1.1583907953156456,,1723972.1800715365,,,365665.73280111316,,,200000,,,165665.7328011132,0.8283286640055658,,535576.4928762848,,,200000,,,335576.4928762847,1.6778824643814239,,497343.17152746423,,,200000,,,297343.17152746423,1.4867158576373212,,1398585.397204862,,,721615.5559849605,,,250000,,,471615.55598496046,1.886462223939842,,0,,,,,,0,,,0,,,,,,0,,,721615.5559849605,,,4975463.1288610855,,,2050000,,,2925463.1288610855,1.4270551848102857,,2512971.3165809736,,,1921692.4672031747,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,0,,,0,
TRADICIONAL,365051.91,0.05584075740260168,,0,0,,365051.91,,,216538.54,0.03364397216700901,,0,0,,216538.54,,,37050,0.0036455674584333435,,0,0,,37050,,,618640.45,0.026738633180458472,,96385,0.00908774232897221,,0,0,,96385,,,115694,0.007772797695623942,,0,0,,115694,,,222546.4,0.027033557458653764,,0,0,,222546.4,,,434625.4,0.012888197351153045,,360475,0.05276151763438628,,0,0,,360475,,,-130897.5,-0.013050557570397515,,0,0,,-130897.5,,,189691.4,0.02058881684331095,,0,0,,189691.4,,,419268.9,0.016079029216946348,,373787.1,0.028130843906148714,,0,0,,373787.1,,,,,,,,,,,,,,,,,,0,,,373787.1,0.028130843906148714,,1846321.8499999996,0.019188090721851358,,0,0,,1846321.8499999996,,,1994236.49,0.04298575304304463,,1460169.54,0.04244792474396309
AUTOMOTRIZ,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0
EMPAQUE,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0
PROD HOGAR,6172321.989999999,0.9441592425973983,,4000000,1,,2172321.9899999993,0.5430804974999999,,6219637.87,0.966356027832991,,4000000,1,,2219637.87,0.5549094675,,10125976.86,0.9963544325415666,,4000000,1,,6125976.859999999,1.531494215,,22517936.72,0.9732613668195416,,10509659.549999999,0.9909122576710278,,4000000,1,,6509659.549999999,1.6274148874999996,,14768779.329999998,0.9922272023043761,,4000000,1,,10768779.329999998,2.6921948324999994,,8009681.28,0.9729664425413462,,4000000,1,,4009681.2800000003,1.0024203200000001,,33288120.159999996,0.987111802648847,,6471682.529999999,0.9472384823656137,,4000000,1,,2471682.5299999993,0.6179206324999998,,10160928.73,1.0130505575703974,,4000000,1,,6160928.73,1.5402321825,,9023630.639999999,0.979411183156689,,4000000,1,,5023630.639999999,1.2559076599999996,,25656241.9,0.9839209707830537,,12913659.99,0.9718691560938513,,5000000,1,,7913659.99,1.582731998,,,,,,,,,,,,,,,,,0,,,12913659.99,0.9718691560938513,,94375958.77,0.9808119092781487,,41000000,1,,53375958.769999996,1.301852652926829,,44398727.43,0.9570142469569554,,32938910.01,0.9575520752560368
OTROS INGRESOS,,0,,0,0,,0,,,,0,,0,0,,0,,,,0,,0,0,,0,,,0,0,,,0,,0,0,,0,,,,0,,0,0,,0,,,,0,,0,0,,0,,,0,0,,,0,,0,0,,0,,,,0,,0,0,,0,,,,0,,0,0,,0,,,0,0,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,
TOTAL VENTAS,6537373.899999999,,,4000000,,,2537373.8999999994,0.6343434749999999,,6436176.41,,,4000000,,,2436176.41,0.6090441025000001,,10163026.86,,,4000000,,,6163026.859999999,1.5407567149999999,,23136577.169999998,,,10606044.549999999,,,4000000,,,6606044.549999999,1.6515111374999998,,14884473.329999998,,,4000000,,,10884473.329999998,2.7211183324999997,,8232227.680000001,,,4000000,,,4232227.680000001,1.05805692,,33722745.559999995,,,6832157.529999999,,,4000000,,,2832157.5299999993,0.7080393824999999,,10030031.23,,,4000000,,,6030031.23,1.5075078075000001,,9213322.04,,,4000000,,,5213322.039999999,1.3033305099999999,,26075510.799999997,,,13287447.09,,,5000000,,,8287447.09,1.657489418,,,,,,,,,,,,,,,,,0,,,13287447.09,,,96222280.61999999,1,,41000000,,,55222280.62,1.3468848931707316,,46392963.92,1,,34399079.550000004,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS ENVIADAS,3879403.000000001,0.3724187469158527,,5078799.0319446465,0.5594130913212632,,-1199396.0319446456,-0.2361574113093825,,2929606.18,0.3127988667095464,,4881968.827457833,0.5496493989447082,,-1952362.647457833,-0.3999129688164106,,2452518.71,0.1944044905859747,,4343874.8054318605,0.5206064216836043,,-1891356.0954318605,-0.43540759808887386,,9261527.89,0.28586634535717503,,1725140.4799999995,0.1399006239710929,,7332478.634049417,0.6470322045892368,,-5607338.154049418,-0.76472614976482,,2885797.5599999996,0.16239468592591613,,4770284.859412022,0.543914472092966,,-1884487.2994120223,-0.3950471208640361,,2578532.2399999998,0.23851535498718204,,6102715.627296668,0.6040668521647442,,-3524183.387296668,-0.5774778971403232,,7189470.279999998,0.17572918338416746,,3461326.4499999997,0.3362638399909377,,7470316.576724552,0.651273792380172,,-4008990.126724552,-0.5366559884778459,,2131406.66,0.17525942896543462,,4689286.918174263,0.5396630313088506,,-2557880.258174263,-0.5454731823426479,,148821.35,0.015896076763677942,,4626559.020750442,0.536315697791165,,-4477737.670750442,-0.9678332537567281,,5741554.46,0.18045518695962848,,999024.1199999999,0.06992798328678394,,4694214.040320828,0.48422842953501294,,-3695189.9203208275,-0.7871796830270396,,,,,,,,,,,,,,,,,0,,,999024.1199999999,0.06992798328678394,,23191576.750000004,0.19421177123641228,,53990498.34156253,0.5683778828849381,,-30798921.59156253,-0.5704507744440127,,107713123.60999998,0.6994293048311526,,102198621.57,0.748620456770917
(+)P.T. PENDIENTE TRANSFERIR,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,243503.65000000037,,,243503.65000000037,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL VENTAS C/TRANSFERENC,10416776.9,,,9078799.031944647,,,1337977.8680553539,0.14737388319176867,,9365782.59,,,8881968.827457834,,,483813.7625421672,0.054471454689921636,,12615545.57,,,8343874.8054318605,,,4271670.764568139,0.5119528833039637,,32398105.060000002,,,12331185.029999997,,,11332478.634049417,,,998706.395950581,0.08812779871032625,,17770270.889999997,,,8770284.859412022,,,8999986.030587975,1.0261908449791621,,10810759.92,,,10102715.627296668,,,708044.2927033328,0.0700845514042044,,40912215.83999999,,,10293483.979999999,,,11470316.576724552,,,-1176832.5967245526,-0.10259809211478693,,12161437.89,,,8689286.918174263,,,3472150.9718257375,0.39958986330207213,,9362143.389999999,,,8626559.02075044,,,735584.3692495571,0.08526973124280186,,31817065.259999998,,,14286471.209999999,,,9694214.040320829,,,4592257.169679172,0.4737111384769044,,,,,,,,,,,,,,,,,0,,,14286471.209999999,,,119413857.36999999,1,,94990498.34156254,,,24423359.02843747,0.25711370563208374,,154349591.17999998,1,,136841204.77,1
,0.01717719539144153,,,,,,,,,0.017461954783109402,,,,,,,,,0.021778930281366835,,,,,,,,,0.1869463321454706,,,0.022051952013513735,,,,,,,,,0.03154518332318695,,,,,,,,,0.021292437860500387,,,0.014279226675157342,,,,0.49114782928297246,,0.1869463321454706,,,0.017251586901246622,,,0.014279226675157342,,,,0.2081597479827476,,0.024033099234925425,,,0.014279226675157342,,,,0.6830812887603807,,0.017713125906621316,,,0.014279226675157342,,,,0.24048215702312434,,0.1869463321454706,,,0.022621884719041696,,,0.014279226675157342,,,,0.5842513907562453,,,,,,,,,,,,,,,,,,,,0.1869463321454706,,,,,,,,,,,,,,,,
INVENTARIO INICIAL,16585213.07,,,,,,,,,14657093.719999999,,,,,,,,,16306806.73,,,,,,,,,16585213.07,,,13105355.4,,,,,,,,,19557424.73,,,,,,,,,20017221.56,,,,,,,,,13105355.4,,,15221714.780000001,,,,,,,,,20209010.34,,,,,,,,,16147240.68,,,,,,,,,15221714.780000001,,,18695504.78,,,,,,,,,,,,,,,,,,,,,,,,,,,18695504.78,,,,,,,,,,,,,,,,
(+) COMPRAS,4986587.33,,,,,,,,,7675089.17,,,,,,,,,4492713.25,,,,,,,,,17154389.75,,,14908651.5,,,,,,,,,11600279.86,,,,,,,,,4663540.3,,,,,,,,,31172471.66,,,12592124.17,,,,,,,,,5745019.1,,,,,,,,,10391818.45,,,,,,,,,28728961.72,,,13467293.05,,,,,,,,,,,,,,,,,,,,,,,,,,,13467293.05,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS RECIBIDAS,159891.58000000005,,,,,,,,,84807.78999999998,,,,,,,,,162947.84999999998,,,,,,,,,407647.22,,,63282.36,,,,,,,,,109271.32999999999,,,,,,,,,28614.239999999994,,,,,,,,,201167.93,,,98431.53000000001,,,,,,,,,15834.52,,,,,,,,,25036.79,,,,,,,,,139302.84000000003,,,9370,,,,,,,,,,,,,,,,,,,,,,,,,,,9370,,,,,,,,,,,,,,,,
(--) INVENTARIO FINAL,14653283.719999999,,,,,,,,,16306806.73,,,,,,,,,13103933.65,,,,,,,,,13103933.65,,,19557424.73,,,,,,,,,20017221.56,,,,,,,,,15221714.780000001,,,,,,,,,15221714.780000001,,,20209010.34,,,,,,,,,16147240.68,,,,,,,,,18717745.26,,,,,,,,,18717745.26,,,20399114.52,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
MATERIALES,7078408.26,0.6795200020075307,,6082795.351402914,0.67,,995612.9085970856,0.00952000200753067,,6110183.95,0.6523943825606142,,5950919.114396749,0.67,,159264.83560325112,-0.017605617439385823,,7858534.18,0.6229246397942344,,5590396.119639347,0.67,,2268138.0603606524,-0.04707536020576564,,21047126.39,0.6496406611134065,,8519864.529999997,0.6909201759013748,,7592760.68481311,0.67,,927103.8451868873,0.020920175901374738,,11249754.360000001,0.633066002743417,,5876090.8558060555,0.67,,5373663.504193946,-0.036933997256583084,,9487661.319999998,0.8776128033745104,,6768819.4702887675,0.67,,2718841.849711231,0.20761280337451038,,29257280.209999997,0.715123334419718,,7703260.140000003,0.7483627657037462,,7685112.10640545,0.67,,18148.03359455336,0.07836276570374612,,9822623.279999997,0.8076860128584678,,5821822.235176757,0.67,,4000801.0448232405,0.1376860128584677,,7846350.659999997,0.8380934080096373,,5779794.543902796,0.67,,2066556.1160972016,0.16809340800963724,,25372234.08,0.7974410547505034,,11773053.310000002,0.8240700685946367,,6495123.407014956,0.67,,5277929.902985047,0.15407006859463668,,,,,,,,,,,,,,,,,0,,,11773053.310000002,0.8240700685946367,,87449693.99,0.7323245050115075,,63643633.88884691,0.6700000000000002,,23806060.101153083,0.062324505011507325,,102827967.88999999,0.6662017508688033,,91572050.08999999,0.6691847696307006
(+) VARIACION EN COMPRAS,-64884.84,-0.006228878723513796,,0,0,,-64884.84,,,-228629.68,-0.02441116669141046,,0,0,,-228629.68,,,61,0,,0,0,,61,,,-293453.52,-0.009057737156433555,,-456743.52,-0.03703971020537027,,0,0,,-456743.52,,,-241032.48,-0.013563804485143674,,0,0,,-241032.48,,,59853.11,0.005536438737231712,,0,0,,59853.11,,,-637922.89,-0.015592479578588383,,178288.91,0.01732056030265469,,0,0,,178288.91,,,23454.42,0.0019285893832739869,,0,0,,23454.42,,,-15446.53,-0.0016498924825803167,,0,0,,-15446.53,,,186296.8,0.00585524775706482,,-41795.42,-0.002925524391967749,,0,0,,-41795.42,,,,,,,,,,,,,,,,,,0,,,-41795.42,-0.002925524391967749,,-786875.03,-0.006589478368175421,,0,0,,-786875.03,,,-1883430.0200000003,-0.012202364810954212,,-1835746.8500000003,-0.013415161413446244
(+) VARIACION STD,-3810,0,,0,0,,-3810,,,0,0,,0,0,,0,,,-1421.75,0,,0,0,,-1421.75,,,-5231.75,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,22240.48,0.0023755756639826475,,0,0,,22240.48,,,22240.48,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,0,,,0,0,,17008.73,0,,0,0,,17008.73,,,-1339717.9999999998,-0.008679763838425995,,1313774.36,0.00960072196242474
FLETES MERCANCIAS,138918.90000000002,0.013336073272338204,,20000,0.002202934543393684,,118918.90000000002,0.01113313872894452,,157497.56,0.01681627333183697,,20000,0.0022517530052764585,,137497.56,0.014564520326560512,,0,0,,20000,0.0023969678915819787,,-20000,,,296416.46,0.009149191270632913,,0,0,,20000,0.001764838977053816,,-20000,,,58116.9,0.0032704566159824032,,20000,0.0022804276395351703,,38116.9,0.000990028976447233,,77205.11,0.007141506292926723,,20000,0.0019796657391762786,,57205.11,0.005161840553750445,,135322.01,0.003307618695824715,,12678.55,0.001231706390628686,,20000,0.0017436310380991398,,-7321.450000000001,,,34414.17,0.0028297780502006082,,20000,0.002301684843455747,,14414.169999999998,,,19679.63,0.0021020432159819767,,20000,0.0023184215110441755,,-320.369999999999,,,66772.35,0.0020986332163056326,,-5911.600000000002,0,,25000,0.0025788578523249345,,-30911.600000000002,-0.0025788578523249345,,,,,,,,,,,,,,,,,0,,,-5911.600000000002,0,,492599.22000000003,0.004125142850663447,,205000,0.0021581105855753096,,287599.22000000003,0.0019670322650881373,,1556201.4899999995,0.010082316889230907,,1593440.0699999996,0.011644446368900524
FLETES INTERPLANTAS,0,0,,36000,0.003965282178108631,,-36000,,,0,0,,36000,0.004053155409497625,,-36000,,,0,0,,36000,0.004314542204847562,,-36000,,,0,0,,0,0,,36000,0.0031767101586968687,,-36000,,,0,0,,36000,0.004104769751163306,,-36000,,,10000,0,,36000,0.0035633983305173016,,-26000,-0.0035633983305173016,,10000,0,,0,0,,36000,0.0031385358685784514,,-36000,,,0,0,,36000,0.004143032718220345,,-36000,,,0,0,,36000,0.004173158719879516,,-36000,,,0,0,,26000,0.0018199035729551582,,45000,0.004641944134184882,,-19000,-0.0028220405612297238,,,,,,,,,,,,,,,,,0,,,26000,0.0018199035729551582,,36000,0,,369000,0.003884599054035557,,-333000,-0.003884599054035557,,73499.35,0,,73499.35,0
GASTOS DE IMPORTACION MERCANCIAS,54707.380000000005,0.005251852902791842,,16000,0.001762347634714947,,38707.380000000005,0.0034895052680768944,,22191.28,0.00236939943744733,,16000,0.0018014024042211669,,6191.279999999999,,,0,0,,16000,0.001917574313265583,,-16000,,,76898.66,0.002373554251323858,,12605.86,0.0010222748234927754,,16000,0.001411871181643053,,-3394.1399999999994,,,6994.51,0,,16000,0.0018243421116281363,,-9005.49,-0.0018243421116281363,,25963.92,0.0024016739056397433,,16000,0.001583732591341023,,9963.919999999998,,,45564.29,0.0011137086824676865,,15886.07,0.0015433132291133174,,16000,0.0013949048304793118,,-113.93000000000029,,,15471.52,0.0012721785153975735,,16000,0.0018413478747645977,,-528.4799999999996,,,22599.03,0.0024138735179103045,,16000,0.0018547372088353405,,6599.029999999999,,,53956.62,0.0016958389958056114,,17806.070000000003,0.0012463588620496022,,20000,0.0020630862818599477,,-2193.9299999999967,,,,,,,,,,,,,,,,,,0,,0,17806.070000000003,0.0012463588620496022,,194225.63999999998,0.0016264916340337126,,164000,0.0017264884684602476,,30225.639999999985,,,541734.1399999999,0.0035097866852672023,,425703.38999999996,0.0031109298600192374
(+) GTOS S/COMPRA,193626.28000000003,0.018587926175130047,,72000,0.007930564356217262,,121626.28000000003,0.010657361818912785,,179688.84,0.0191856727692843,,72000,0.00810631081899525,,107688.84,0.01107936195028905,,0,0,,72000,0.008629084409695124,,-72000,,,373315.12,0.01152274552195677,,12605.86,0.0010222748234927754,,72000,0.006353420317393737,,-59394.14,-0.0053311454939009625,,65111.41,0.0036640640090996393,,72000,0.008209539502326613,,-6888.589999999998,-0.004545475493226973,,113169.03,0.010468184552931964,,72000,0.007126796661034603,,41169.03,0.003341387891897361,,190886.3,0.004665753151736405,,28564.62,0.0027750196197420035,,72000,0.006277071737156903,,-43435.38,-0.0035020521174148993,,49885.69,0.0041019565655981815,,72000,0.00828606543644069,,-22114.31,-0.004184108870842508,,42278.66,0.004515916733892281,,72000,0.008346317439759032,,-29721.339999999997,-0.0038304007058667508,,120728.97,0.003794472212111244,,37894.47,0.0026524723595477712,,90000,0.009283888268369764,,-52105.53,-0.006631415908821993,,,,,,,,,,,,,,,,,0,,,37894.47,0.0026524723595477712,,722824.86,0.0060531070339713625,,738000,0.007769198108071114,,-15175.139999999985,-0.0017160910740997518,,2171434.9799999995,0.014068291100737075,,2092642.8099999996,0.015292490398029396
TOTAL MATERIALES,7203339.7,0.6915132933297247,,6154795.351402914,0.6779305643562173,,1048544.3485970857,0.013582728973507319,,6061243.11,0.6471688886384881,,6022919.114396749,0.6781063108189953,,38323.995603251125,-0.030937422180507212,,7857173.43,0.6228167768411461,,5662396.119639347,0.6786290844096953,,2194777.3103606524,-0.05581230756854916,,21121756.24,0.6519441862690224,,8075726.869999998,0.6549027405194974,,7664760.68481311,0.6763534203173938,,410966.1851868873,-0.021450679797896388,,11073833.290000001,0.6231662622673729,,5948090.8558060555,0.6782095395023267,,5125742.4341939455,-0.055043277234953725,,9660683.459999997,0.893617426664674,,6840819.4702887675,0.6771267966610346,,2819863.9897112306,0.21649063000363944,,28810243.619999997,0.7041966079928661,,7910113.670000004,0.7684583456261429,,7757112.10640545,0.6762770717371569,,153001.56359455336,0.092181273888986,,9895963.389999997,0.8137165588073398,,5893822.235176757,0.6782860654364408,,4002141.1548232404,0.13543049337089907,,7895423.269999998,0.8433350079249319,,5851794.543902796,0.678346317439759,,2043628.7260972015,0.16498869048517284,,25701500.33,0.8077897857635409,,11769152.360000003,0.8237970165622168,,6585123.407014956,0.6792838882683698,,5184028.952985046,0.144513128293847,,,,,,,,,,,,,,,,,0,,,11769152.360000003,0.8237970165622168,,87402652.55,0.7319305688215538,,64381633.88884691,0.6777691981080712,,23021018.66115308,0.05416137071348259,,101776254.85,0.6593879133201602,,93142720.41,0.6806628205777085
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
