UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.382726809837095,Unnamed: 122,Unnamed: 123,19.999252507177484,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,18.327244620303098,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134
TOTAL VENTAS C/TRANSFERENC,10550612.940000001,,,10256345.00748389,,,294267.9325161111,0.02869130594781947,,7942163.920000002,,,9390486.393942915,,,-1448322.4739429136,-0.15423295590706732,,8405431.070000004,,,8807483.894314798,,,-402052.8243147946,-0.04564899909431766,,26898207.930000007,,,8036518.069999999,,,10005779.740854273,,,-1969261.6708542737,-0.19681241461009233,,7854052.42,,,9931427.792867199,,,-2077375.3728671982,-0.20917187500060969,,8597610.82,,,9248380.285508594,,,-650769.4655085935,-0.07036577707864071,,24488181.310000002,,,8431906.440000001,,,11471647.59616675,,,-3039741.156166748,-0.26497860317662464,,8664864.07,,,9934850.154640974,,,-1269986.084640974,-0.12783142824229832,,9406299.659999998,,,9082781.070735842,,,323518.5892641573,0.0356188910361952,,26503070.170000006,,,10633968.210000008,,,9955300.193993341,,,678668.0160066664,0.06817152700389188,,,,,,,,,,,,,,,,,,,,10633968.210000008,,,88523427.62,1,,98084482.13050857,,,-9561054.510508567,-0.0974777488021692,,99271743.54,1,,79165506.08,1
,0.01739789012567327,,,,,,,,,0.014807700896149346,,,,,,,,,0.014510771352900334,,,,,,,,,0.1869463321454706,,,0.014371766412086352,,,,,,,,,0.013942247979924865,,,,,,,,,0.016933508420156996,,,,,,,,,0.1869463321454706,,,0.014131635797507803,,,,,,,,,0.01712326617419824,,,,,,,,,0.017796669336527782,,,,,,,,,0.1869463321454706,,,0.016838336032497025,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1869463321454706,,,,,,,,,,,,,,,,
INVENTARIO INICIAL,3699354.1900000004,,,,,,,,,3814941.8,,,,,,,,,3381967.63,,,,,,,,,3699354.1900000004,,,3226665.2199999997,,,,,,,,,3202361.9699999997,,,,,,,,,3381252.6799999997,,,,,,,,,3226665.2199999997,,,3088644.06,,,,,,,,,3308400.25,,,,,,,,,3041939.58,,,,,,,,,3088644.06,,,3311264.1799999997,,,,,,,,,,,,,,,,,,,,,,,,,,,3311264.1799999997,,,,,,,,,,,,,,,,
(+) COMPRAS,16196.7,,,,,,,,,0,,,,,,,,,47243.51,,,,,,,,,63440.21000000001,,,0,,,,,,,,,0,,,,,,,,,45953.91,,,,,,,,,45953.91,,,73219.89,,,,,,,,,155032.65,,,,,,,,,88020.98,,,,,,,,,316273.52,,,87508.5,,,,,,,,,,,,,,,,,,,,,,,,,,,87508.5,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS RECIBIDAS,6412652.480000003,,,,,,,,,4942500.369999992,,,,,,,,,5277514.84,,,,,,,,,16632667.689999994,,,5229741.709999993,,,,,,,,,5640901.409999994,,,,,,,,,5698879.2600000035,,,,,,,,,16569522.379999992,,,6056403.599999997,,,,,,,,,5932879.0200000005,,,,,,,,,6914252.739999995,,,,,,,,,18903535.359999992,,,7641393.33000001,,,,,,,,,,,,,,,,,,,,,,,,,,,7641393.33000001,,,,,,,,,,,,,,,,
(--) INVENTARIO FINAL,3814941.8,,,,,,,,,3381967.63,,,,,,,,,3226665.2199999997,,,,,,,,,3226665.2199999997,,,3202361.9699999997,,,,,,,,,3381252.6799999997,,,,,,,,,3088644.06,,,,,,,,,3088644.06,,,3308400.25,,,,,,,,,3041939.58,,,,,,,,,3311264.1799999997,,,,,,,,,3311264.1799999997,,,3485524.05,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
MATERIALES,6313261.570000004,0.5983786540083237,,6666624.254864529,0.65,,-353362.68486452475,-0.05162134599167634,,5375474.539999992,0.6768274483058001,,6103816.1560628945,0.65,,-728341.6160629028,0.026827448305800083,,5480060.76,0.6519666527941674,,5724864.531304618,0.65,,-244803.77130461857,0.0019666527941674117,,17168796.869999997,0.6382877593436759,,5254044.959999993,0.6537713116844884,,6506036.23336275,0.6502278085133302,,-1251991.2733627567,0.0035435031711582576,,5462010.699999994,0.695438533882359,,6455428.065363679,0.65,,-993417.3653636854,0.04543853388235897,,6037441.790000003,0.7022232008868718,,6011447.185580586,0.65,,25994.604419416748,0.05222320088687182,,16753497.44999999,0.6841462515290396,,5909867.299999997,0.70089336759766,,7456570.937508388,0.65,,-1546703.6375083914,0.050893367597659944,,6354372.34,0.733349339200886,,6457652.600516634,0.65,,-103280.26051663421,0.08334933920088594,,6732949.119999995,0.7157914762838841,,5903807.695978298,0.65,,829141.4240216976,0.06579147628388404,,18997188.75999999,0.7167920032715208,,7554641.96000001,0.7104254790695866,,6470945.126095672,0.65,,1083696.833904338,0.06042547906958662,,,,,,,,,,,,,,,,,,,,7554641.96000001,0.7104254790695866,,60474125.04,0.6831426060409024,,63757192.78663805,0.6500232391685001,,-3283067.746638052,0.033119366872402245,,64104555.429999985,0.6457482577020525,,51287784.09999998,0.6478551914791217
(+) VARIACION EN COMPRAS,972.47,0,,0,0,,972.47,,,0,0,,0,0,,0,,,1535.24,0,,0,0,,1535.24,,,2507.71,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,8737.18,0.0010162334842692962,,0,0,,8737.18,,,8737.18,0,,12988.11,0.0015403527176708093,,0,0,,12988.11,,,-3798.21,0,,0,0,,-3798.21,,,-697.86,0,,0,0,,-697.86,,,8492.04,0,,-485.88,0,,0,0,,-485.88,,,,,,,,,,,,,,,,,,,,,-485.88,0,,19251.05,0,,0,0,,19251.05,,,11638.850000000002,0,,9167.400000000001,0
(+) VARIACION STD,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,-282585.51,-0.0028465855431071036,,-30841.43,0
FLETES MERCANCIAS,0,0,,49054.324076223114,0.0047828270246787685,,-49054.324076223114,,,0,0,,44913.07209982845,0.0047828270246787685,,-44913.07209982845,,,0,0,,42124.671989151815,0.0047828270246787685,,-42124.671989151815,,,0,0,,0,0,,47872.68603148711,0.004784503284238779,,-47872.68603148711,,,0,0,,47500.301241371046,0.004782827024678768,,-47500.301241371046,,,0,0,,44233.40316403684,0.004782827024678768,,-44233.40316403684,,,0,0,,0,0,,54866.90614053756,0.0047828270246787685,,-54866.90614053756,,,0,0,,47516.66980575089,0.0047828270246787685,,-47516.66980575089,,,0,0,,43441.37076435614,0.0047828270246787685,,-43441.37076435614,,,0,0,,0,0,,47614.47880662113,0.004782827024678768,,-47614.47880662113,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,469137.8841193642,0.004782998023022051,,-469137.8841193642,,,0,0,,0,0
