,,,,,,,,,,,,,,,HDA SAN JOSE,,,,,PUEBLA,,,,,,,,LEON,,,,,,,,MONTERREY 2,,,,,,,,MTY RESORTES,,MTY TELAS,,,,,,YUCATAN,,,,,,,,,,TECATE,,,,,,,,CD JUATREZ,,,,,,OCOTLAN,,,,,,CD JUAREZ II,,,,,,,,,,,,,,
,10101,,10102,,10103,,10106,,10112,,10120, ,TOTAL,,11108,,,,,10201,,10202,,10220,,TOTAL,,10301,,10302,,10320,,TOTAL,,10401,,10402,,10420,,TOTAL,,11211,,10710,,10720,,TOTAL,,10501,,10502,,10508,,10520,,TOTAL,,10601,,10602,,10620,,TOTAL,,10802,,10820,,TOTAL,,10902,,10920,,TOTAL,,11001,,11002,,11020,,TOTAL,,,TOTAL,,,,,
,ESPUMADO,%,CORTE GDL,%,POLIETILENO,%,CORRUGADO,%,ALM VALLARTA,%,ADMON,%,GUADALAJARA,%,COSTURA HSJ,%,,,,ESPUMADO,%,CORTE,%,ADMON,%,PUEBLA,%,ESPUMADO,%,CORTE,%,ADMON,%,LEON,%,ESPUMADO,%,CORTE,%,ADMON,%,MTY2,%,RESORTES,%,TELAS,%,ADMON,%,MTY TELAS,%,ESPUMADO,%,CORTE,%,COSTURA,%,ADMON,%,YUCATAN,%,ESPUMADO,%,CORTE,%,ADMON,%,TKT,%,CORTE,%,ADMON,%,JUÁREZ,%,CORTE,%,ADMON,%,OCOTLAN,%,ESPUMADO,%,CORTE,%,ADMON,%,JRZ II,%,,GENERAL,%,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+) OTROS INGRESOS,0,,394683.99,,358393.83,,62185.91,,277446.8,,,,1092710.53,,0,,,,(+) OTROS INGRESOS,,,52000,,,,52000,0.0024228650960316338,,,153956.35,,,,153956.35,0.0010199259770210215,,0,843708.79,,,,843708.79,,464651.11,,56167.4,,0,,56167.4,,,,105111.31,,0,,,,105111.31,0.007378855140070052,,,15324.4,,,,15324.4,0.0002460581878217332,,,,,0,0,0,,,,0,0,,,0,,,,0,0,,2783629.8899999997,,2783629.89,0,,
(+) TRANSFERENCIAS ENVIADAS,27088161.70000003,,10662906.140000002,,15601653.879999993,,6720063.73,,3069044.9199999995,,,,63141830.370000035,,121823.14,,,,TRANSFERENCIAS ENVIADAS,8351463.019999985,,85995.72999999998,,,,8437458.749999985,0.39313123662657046,59707315.12999967,,7351092.569999999,,,,67058407.69999967,0.44424677508200305,26075279.28000002,,1085830.92,,,,27161110.200000018,,2885797.5599999996,,1731186.24,,,,1731186.24,,0,,45743.24999999999,,7890352.770000001,,0,,7936096.020000001,0.5571170496235514,6547904.539999988,,689727.8400000001,,0,,7237632.379999988,0.11621196963944395,303522.57000000007,,,,303522.57000000007,0.0169646771488946,479000.9099999998,,,,479000.9099999998,0.060987740389947614,10029164.88999998,,45386.64,,0,,10074551.52999998,0.16176332467101256,,196568417.36999968,,,,,
VENTAS NETAS,34862681.910000026,,40298422.77999999,,16433016.189999994,,7052670.170000001,1,31687832.96075,1,0,,130334624.01075003,1,121823.14,1,,,VENTAS NETAS,8351463.019999985,1,13110730.680000002,1,0,,21462193.699999988,1,64036036.05999967,1,86912516.54934998,1,0,,150948552.60934967,1,52998991.16000001,1,71813233.79000002,1,0,,124812224.95000003,1,18234921.999999996,1,1909490.2,1,0,,1909490.2,1,0,1,6194063.429999999,1,8050871.320000001,1,0,,14244934.75,1,49128936.82959999,1,13150640.760000002,1,0,,62279577.58959999,1,17891443.930000003,1,0,,17891443.930000003,1,7854052.42,1,0,,7854052.42,1,10029164.88999998,1,3204547.53,1,0,,13233712.41999998,1,,563327551.7196996,1,363975504.4596999,200726500.62999976,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVENTARIO INICIAL,31182122.300000004,,20460141.46,,4341373.25,,4982139.36,,34072339.449999996,,,,95038115.82,,4644459.34,,,,INVENTARIO INICIAL,14560406.4,,2034762.48,,,,16595168.88,,87724885.82000001,,30476436.75,,,,118201322.57000001,,51249858.19,,156850332.74,,,,208100190.93,,19557424.73,,32311498.57,,,,32311498.57,,0,,3392805.33,,161682726.98,,,,165075532.31,,56321257.989999995,,77706414.16,,,,134027672.14999999,,4419137.25,,,,4419137.25,,3202361.9699999997,,,,3202361.9699999997,,37417089.050000004,,1722107.21,,,,39139196.260000005,,,840312080.7800001,,,,,
(+) COMPRAS,18996092.16,,934391.63,,6914505.84,,3384647.37,,8336143.49,,,,38565780.49,,0,,,,(+) COMPRAS,2072359.4,,4839.89,,,,2077199.2899999998,,53387334.4,,2745389.25,,,,56132723.65,,30197329.59,,19386350.84,,,,49583680.43,,11600279.86,,851824.29,,,,851824.29,,0,,608110.62,,4751616.86,,,,5359727.48,,32978157.37,,539511.87,,,,33517669.240000002,,1413318.53,,,,1413318.53,,0,,,,0,,6288850.2,,575771.22,,,,6864621.42,,,205966824.68,,,,,
(+) TRANSFERENCIAS RECIBIDAS,586934.6799999999,,24135610.740000047,,6175646.220000002,,215121.96,,20214143.879999995,,,,51327457.48000005,,0,,,,(+) TRANSFERENCIAS RECIBIDAS,191299.13999999998,,8922879.419999985,,,,9114178.559999986,,5587390.959999999,,60401697.99999967,,,,65989088.95999967,,2411311.6699999995,,36473955.020000026,,,,38885266.69000003,,109271.32999999999,,12943.150000000001,,,,12943.150000000001,,0,,2405310.0899999985,,2282344.66,,,,4687654.749999998,,1011932.3299999998,,6681066.119999988,,,,7692998.449999988,,10398949.369999982,,,,10398949.369999982,,5640901.409999994,,,,5640901.409999994,,417349.09000000014,,2292358.1299999994,,,,2709707.2199999997,,,196568417.3699997,,0,,,
(=) MATERIAL DISPONIBLE,50765149.14000001,,45530143.83000004,,17431525.310000002,,8581908.690000001,,62622626.81999999,,,,184931353.79000005,,4644459.34,,,,(=) MATERIAL DISPONIBLE,16824064.94,,10962481.789999984,,,,27786546.72999999,,146699611.18,,93623523.99999967,,,,240323135.17999968,,83858499.45,,212710638.60000002,,,,296569138.0500001,,31266975.919999998,,33176266.009999998,,,,33176266.009999998,,0,,6406226.039999999,,168716688.5,,,,175122914.54,,90311347.69,,84926992.14999999,,,,175238339.83999997,,16231405.149999984,,,,16231405.149999984,,8843263.379999993,,,,8843263.379999993,,44123288.34000001,,4590236.559999999,,,,48713524.900000006,,,1242847322.8299997,,,,,
(--) INVENTARIO FINAL,23710526.78,,18933561.799999997,,4051013.02,,2947571.58,,35897021.69,,,,85539694.87,,4644459.34,,,,(--) INVENTARIO FINAL,10654650.85,,1911139.98,,,,12565790.83,,93022291.53999999,,31250640.910000004,,,,124272932.44999999,,49868176.18,,156902578.6,,,,206770754.78,,20017221.56,,32034871.61,,,,32034871.61,,0,,3327900.58,,162093649.53,,,,165421550.11,,58712866.44,,77998090.28,,,,136710956.72,,5465946.38,,,,5465946.38,,3381252.6799999997,,,,3381252.6799999997,,34808204.18,,2711110.6500000004,,,,37519314.83,,,834344746.16,,,,,
(=) COSTO MATERIALES,27054622.360000007,0.7760338814392718,26596582.030000046,0.659990644676046,13380512.290000003,0.8142456707456094,5634337.110000001,0.7988941740061553,26725605.129999995,0.8434027395657997,,,99391658.92000005,0.7625882966586239,0,0,,,(=) COSTO MATERIALES,6169414.090000002,0.7387225537879485,9051341.809999984,0.6903766106497417,,,15220755.89999999,0.7091891962562987,53677319.640000015,0.3556000949470202,62372883.08999967,0.4132062349177923,,,116050202.72999969,0.7688063298648126,33990323.27,0.6413390618584748,55808060.00000003,0.7771277946234374,,,89798383.27000007,0.7194678510536403,11249754.36,0.6169346027364417,1141394.3999999985,0.5977482366759456,,,1141394.3999999985,0.5977482366759456,0,,3078325.459999999,0.49697997038432,6623038.969999999,0.8226487179775217,,,9701364.429999977,0.6810395835614464,31598481.25,0.6431745380445937,6928901.86999999,,,,38527383.119999975,0.6186198527851549,10765458.769999985,0.6017098906113825,,,10765458.769999985,0.6017098906113825,5462010.699999994,0.695438533882359,,,5462010.699999994,0.695438533882359,9315084.160000011,0.9287995822352094,1879125.9099999983,,,,11194210.070000008,0.8458858493163497,,408502576.6699997,0.725159945440166,,,,
