UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.323754792205936,Unnamed: 122,Unnamed: 123,,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
TOTAL VENTAS C/TRANSFERENC,2885368.9000000004,,,0,,,2885368.9000000004,,,3066026.13,,,,,,3066026.13,,,3319345.8700000006,,,,,,3319345.8700000006,,,9270740.9,,,3493866.2800000003,,,,,,3493866.2800000003,,,3204547.53,,,,,,3204547.53,,,2311053.4699999997,,,,,,2311053.4699999997,,,9009467.280000001,,,3929594.88,,,,,,3929594.88,,,3156437.91,,,,,,3156437.91,,,3697400.8800000004,,,,,,3697400.8800000004,,,10783433.670000002,,,5085208.350000001,,,,,,5085208.350000001,,,,,,,,,,,,,,,,,,,,,5085208.350000001,,,34148850.199999996,1,,0,1,,34148850.199999996,,,,,,
,0.004757954005109654,,,,,,,,,0.005716426698080326,,,,,,,,,0.005730374630359561,,,,,,,,,0.1869463321454706,,,0.006248107652326239,,,,,,,,,0.0056886042946369475,,,,,,,,,0.004551757949155233,,,,,,,,,0.1869463321454706,,,0.006585889451106311,,,,,,,,,0.0062376658258714015,,,,,,,,,0.006995462960399335,,,,,,,,,0.1869463321454706,,,0.008052163153171556,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1869463321454706,,,,,,,,,,,,,,,
INVENTARIO INICIAL,3152279.2,,,,,,,,,2242210.6,,,,,,,,,2169708.02,,,,,,,,,3152279.2,,,2276572.88,,,,,,,,,1722107.21,,,,,,,,,2711110.6500000004,,,,,,,,,2276572.88,,,2716852.37,,,,,,,,,3101654.54,,,,,,,,,2851632.93,,,,,,,,,2716852.37,,,3790989.8600000003,,,,,,,,,,,,,,,,,,,,,,,,,,,3790989.8600000003,,,,,,,,,,,,,,,
(+) COMPRAS,370498.61,,,,,,,,,3240,,,,,,,,,424664.2,,,,,,,,,798402.81,,,168240.21,,,,,,,,,575771.22,,,,,,,,,-199884.39,,,,,,,,,544127.0399999999,,,453880.14,,,,,,,,,139895.95,,,,,,,,,1559498.52,,,,,,,,,2153274.61,,,5576241.76,,,,,,,,,,,,,,,,,,,,,,,,,,,5576241.76,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS RECIBIDAS,1043526.0400000002,,,,,,,,,2293665.41,,,,,,,,,1555386.81,,,,,,,,,4892578.260000001,,,1947446.1399999992,,,,,,,,,2292358.1299999994,,,,,,,,,1850945.23,,,,,,,,,6090749.499999998,,,2701491.96,,,,,,,,,2281120.8800000004,,,,,,,,,1850575.4,,,,,,,,,6833188.24,,,2626441.64,,,,,,,,,,,,,,,,,,,,,,,,,,,2626441.64,,,,,,,,,,,,,,,
(--) INVENTARIO FINAL,2242210.6,,,,,,,,,2169708.02,,,,,,,,,2276572.88,,,,,,,,,2276572.88,,,1722107.21,,,,,,,,,2711110.6500000004,,,,,,,,,2716852.37,,,,,,,,,2716852.37,,,3101654.54,,,,,,,,,2851632.93,,,,,,,,,3790989.8600000003,,,,,,,,,3790989.8600000003,,,7761559,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
MATERIALES,2324093.25,0.8054752548279007,,0,,,2324093.25,,,2369407.99,0.7727944542990572,,,,,2369407.99,,,1873186.1500000004,0.5643238828859977,,,,,1873186.1500000004,,,6566687.390000001,0.7083239042955024,,2670152.019999999,0.7642399010187645,,,,,2670152.019999999,,,1879125.9099999988,0.586393521209529,,,,,1879125.9099999988,,,1645319.12,0.7119346831901732,,,,,1645319.12,,,6194597.049999998,0.6875652974234451,,2770569.93,0.705052305544535,,,,,2770569.93,,,2671038.4400000004,0.8462192243787873,,,,,2671038.4400000004,,,2470716.9899999998,0.6682307572772578,,,,,2470716.9899999998,,,7912325.359999999,0.7337482291946066,,4232114.260000002,0.8322400910082673,,,,,4232114.260000002,,,,,,,,,,,,,,,,,,,,,4232114.260000002,0.8322400910082673,,24905724.06,0.7293283350430347,,0,,,24905724.06,,,,,,
(+) VARIACION EN COMPRAS,18782.16,0.006509448410565456,,0,,,18782.16,,,628.8,0,,,,,628.8,,,563677.67,0.16981588905647846,,,,,563677.67,,,583088.6300000001,0.06289558043845235,,-465.64,0,,,,,-465.64,,,-13534.3,-0.004223466768177409,,,,,-13534.3,,,12886.68,0.005576106380610918,,,,,12886.68,,,-1113.2599999999989,0,,6390.63,0.0016262821474360228,,,,,6390.63,,,10953.95,0.003470351805526249,,,,,10953.95,,,-53625.68,-0.014503615307193846,,,,,-53625.68,,,-36281.1,-0.0033645220168540243,,-1455218.1,-0.28616685882693477,,,,,-1455218.1,,,,,,,,,,,,,,,,,,,,,-1455218.1,-0.28616685882693477,,-909523.8300000002,-0.02663409821042819,,0,,,-909523.8300000002,,,,,,
(+) VARIACION STD,0,0,,0,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,0,,,,,,
FLETES MERCANCIAS,32000,0.011090436304349157,,0,,,32000,,,0,0,,,,,0,,,1002.04,0,,,,,1002.04,,,33002.04,0.003559806099208317,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,50000,0.009832438822295255,,,,,50000,,,,,,,,,,,,,,,,,,,,,50000,0.009832438822295255,,83002.04000000001,0.002430595452376315,,0,,,83002.04000000001,,,,,,
